Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HY,AY,HST,AST
05/08/2022,Ein Frankfurt,Bayern Munich,1,6,A,5.0,6.0,2.0,0.0,2.0,10.0
06/08/2022,Augsburg,Freiburg,0,4,A,5.0,8.0,0.0,0.0,2.0,7.0
06/08/2022,Bochum,Mainz,1,2,A,3.0,5.0,2.0,3.0,3.0,6.0
06/08/2022,Dortmund,Leverkusen,1,0,H,3.0,3.0,2.0,4.0,4.0,3.0
06/08/2022,M'gladbach,Hoffenheim,3,1,H,4.0,2.0,1.0,4.0,8.0,1.0
06/08/2022,Union Berlin,Hertha,3,1,H,5.0,4.0,2.0,3.0,8.0,3.0
06/08/2022,Wolfsburg,Werder Bremen,2,2,D,2.0,5.0,2.0,2.0,3.0,5.0
07/08/2022,FC Koln,Schalke 04,3,1,H,9.0,1.0,0.0,1.0,10.0,2.0
07/08/2022,Stuttgart,RB Leipzig,1,1,D,1.0,9.0,2.0,1.0,2.0,9.0
12/08/2022,Freiburg,Dortmund,1,3,A,9.0,2.0,1.0,3.0,7.0,7.0
13/08/2022,Hertha,Ein Frankfurt,1,1,D,4.0,5.0,3.0,1.0,5.0,1.0
13/08/2022,Hoffenheim,Bochum,3,2,H,8.0,2.0,1.0,1.0,13.0,5.0
13/08/2022,Leverkusen,Augsburg,1,2,A,7.0,3.0,1.0,6.0,10.0,4.0
13/08/2022,RB Leipzig,FC Koln,2,2,D,2.0,7.0,1.0,4.0,5.0,3.0
13/08/2022,Schalke 04,M'gladbach,2,2,D,2.0,7.0,4.0,2.0,5.0,9.0
13/08/2022,Werder Bremen,Stuttgart,2,2,D,2.0,5.0,4.0,2.0,3.0,7.0
14/08/2022,Bayern Munich,Wolfsburg,2,0,H,8.0,4.0,2.0,1.0,8.0,1.0
14/08/2022,Mainz,Union Berlin,0,0,D,4.0,4.0,1.0,0.0,5.0,2.0
19/08/2022,M'gladbach,Hertha,1,0,H,5.0,5.0,1.0,2.0,6.0,5.0
20/08/2022,Augsburg,Mainz,1,2,A,3.0,3.0,2.0,2.0,2.0,7.0
20/08/2022,Dortmund,Werder Bremen,2,3,A,3.0,5.0,4.0,1.0,3.0,7.0
20/08/2022,Leverkusen,Hoffenheim,0,3,A,3.0,1.0,1.0,4.0,3.0,5.0
20/08/2022,Stuttgart,Freiburg,0,1,A,3.0,1.0,4.0,2.0,5.0,3.0
20/08/2022,Union Berlin,RB Leipzig,2,1,H,1.0,13.0,2.0,1.0,4.0,2.0
20/08/2022,Wolfsburg,Schalke 04,0,0,D,12.0,4.0,1.0,3.0,6.0,2.0
21/08/2022,Bochum,Bayern Munich,0,7,A,5.0,5.0,1.0,0.0,7.0,12.0
21/08/2022,Ein Frankfurt,FC Koln,1,1,D,5.0,9.0,0.0,1.0,3.0,2.0
26/08/2022,Freiburg,Bochum,1,0,H,2.0,5.0,2.0,2.0,12.0,5.0
27/08/2022,Bayern Munich,M'gladbach,1,1,D,14.0,1.0,4.0,2.0,20.0,3.0
27/08/2022,Hertha,Dortmund,0,1,A,6.0,10.0,1.0,0.0,3.0,7.0
27/08/2022,Hoffenheim,Augsburg,1,0,H,4.0,6.0,1.0,1.0,6.0,1.0
27/08/2022,Mainz,Leverkusen,0,3,A,3.0,4.0,1.0,6.0,3.0,5.0
27/08/2022,RB Leipzig,Wolfsburg,2,0,H,8.0,4.0,3.0,3.0,7.0,4.0
27/08/2022,Schalke 04,Union Berlin,1,6,A,8.0,2.0,1.0,0.0,4.0,7.0
28/08/2022,FC Koln,Stuttgart,0,0,D,6.0,8.0,2.0,2.0,2.0,5.0
28/08/2022,Werder Bremen,Ein Frankfurt,3,4,A,5.0,7.0,1.0,3.0,4.0,7.0
02/09/2022,Dortmund,Hoffenheim,1,0,H,5.0,8.0,3.0,4.0,5.0,2.0
03/09/2022,Bochum,Werder Bremen,0,2,A,7.0,3.0,2.0,2.0,6.0,6.0
03/09/2022,Ein Frankfurt,RB Leipzig,4,0,H,4.0,3.0,1.0,1.0,9.0,0.0
03/09/2022,Leverkusen,Freiburg,2,3,A,8.0,4.0,2.0,2.0,6.0,3.0
03/09/2022,Stuttgart,Schalke 04,1,1,D,5.0,7.0,4.0,2.0,3.0,4.0
03/09/2022,Union Berlin,Bayern Munich,1,1,D,5.0,7.0,1.0,2.0,3.0,6.0
03/09/2022,Wolfsburg,FC Koln,2,4,A,5.0,4.0,2.0,1.0,3.0,5.0
04/09/2022,Augsburg,Hertha,0,2,A,5.0,1.0,2.0,1.0,2.0,6.0
04/09/2022,M'gladbach,Mainz,0,1,A,4.0,8.0,1.0,4.0,3.0,5.0
09/09/2022,Werder Bremen,Augsburg,0,1,A,3.0,7.0,4.0,5.0,6.0,5.0
10/09/2022,Bayern Munich,Stuttgart,2,2,D,3.0,0.0,2.0,5.0,7.0,3.0
10/09/2022,Ein Frankfurt,Wolfsburg,0,1,A,10.0,5.0,2.0,4.0,0.0,3.0
10/09/2022,Hertha,Leverkusen,2,2,D,3.0,5.0,3.0,1.0,6.0,5.0
10/09/2022,Hoffenheim,Mainz,4,1,H,7.0,5.0,3.0,2.0,9.0,2.0
10/09/2022,RB Leipzig,Dortmund,3,0,H,5.0,8.0,2.0,1.0,5.0,0.0
10/09/2022,Schalke 04,Bochum,3,1,H,3.0,8.0,2.0,3.0,8.0,2.0
11/09/2022,FC Koln,Union Berlin,0,1,A,7.0,8.0,4.0,1.0,2.0,3.0
11/09/2022,Freiburg,M'gladbach,0,0,D,7.0,6.0,1.0,1.0,8.0,5.0
16/09/2022,Mainz,Hertha,1,1,D,4.0,3.0,3.0,5.0,2.0,2.0
17/09/2022,Augsburg,Bayern Munich,1,0,H,2.0,8.0,3.0,1.0,4.0,7.0
17/09/2022,Dortmund,Schalke 04,1,0,H,11.0,2.0,3.0,2.0,7.0,0.0
17/09/2022,Leverkusen,Werder Bremen,1,1,D,9.0,6.0,2.0,3.0,7.0,7.0
17/09/2022,M'gladbach,RB Leipzig,3,0,H,8.0,3.0,2.0,2.0,10.0,6.0
17/09/2022,Stuttgart,Ein Frankfurt,1,3,A,7.0,4.0,2.0,0.0,2.0,8.0
18/09/2022,Bochum,FC Koln,1,1,D,4.0,8.0,0.0,1.0,0.0,3.0
18/09/2022,Hoffenheim,Freiburg,0,0,D,5.0,3.0,1.0,2.0,3.0,4.0
18/09/2022,Union Berlin,Wolfsburg,2,0,H,4.0,1.0,0.0,0.0,4.0,0.0
30/09/2022,Bayern Munich,Leverkusen,4,0,H,6.0,2.0,0.0,0.0,10.0,5.0
01/10/2022,Ein Frankfurt,Union Berlin,2,0,H,4.0,7.0,3.0,4.0,4.0,5.0
01/10/2022,FC Koln,Dortmund,3,2,H,7.0,11.0,4.0,3.0,16.0,13.0
01/10/2022,Freiburg,Mainz,2,1,H,5.0,5.0,2.0,4.0,6.0,7.0
01/10/2022,RB Leipzig,Bochum,4,0,H,7.0,2.0,0.0,2.0,9.0,1.0
01/10/2022,Werder Bremen,M'gladbach,5,1,H,4.0,5.0,0.0,1.0,9.0,9.0
01/10/2022,Wolfsburg,Stuttgart,3,2,H,8.0,5.0,3.0,5.0,7.0,7.0
02/10/2022,Hertha,Hoffenheim,1,1,D,2.0,6.0,2.0,1.0,5.0,4.0
02/10/2022,Schalke 04,Augsburg,2,3,A,8.0,4.0,2.0,6.0,5.0,5.0
07/10/2022,Hoffenheim,Werder Bremen,1,2,A,3.0,3.0,3.0,3.0,6.0,3.0
08/10/2022,Augsburg,Wolfsburg,1,1,D,11.0,5.0,5.0,3.0,5.0,7.0
08/10/2022,Bochum,Ein Frankfurt,3,0,H,9.0,4.0,2.0,1.0,6.0,2.0
08/10/2022,Dortmund,Bayern Munich,2,2,D,7.0,4.0,3.0,6.0,6.0,3.0
08/10/2022,Leverkusen,Schalke 04,4,0,H,3.0,3.0,1.0,1.0,7.0,1.0
08/10/2022,Mainz,RB Leipzig,1,1,D,4.0,2.0,1.0,1.0,3.0,3.0
09/10/2022,Hertha,Freiburg,2,2,D,4.0,2.0,2.0,1.0,3.0,4.0
09/10/2022,M'gladbach,FC Koln,5,2,H,7.0,4.0,2.0,3.0,6.0,3.0
