Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
18/09/2019,Brugge,Galatasaray,0,0,D
18/09/2019,Paris Saint-Germain,Real Madrid,3,0,H
01/10/2019,Real Madrid,Brugge,2,2,D
01/10/2019,Galatasaray,Paris Saint-Germain,0,1,A
22/10/2019,Brugge,Paris Saint-Germain,0,5,A
22/10/2019,Galatasaray,Real Madrid,0,1,A
06/11/2019,Paris Saint-Germain,Brugge,1,0,H
06/11/2019,Real Madrid,Galatasaray,6,0,H
26/11/2019,Galatasaray,Brugge,1,1,D
26/11/2019,Real Madrid,Paris Saint-Germain,2,2,D
11/12/2019,Paris Saint-Germain,Galatasaray,5,0,H
11/12/2019,Brugge,Real Madrid,1,3,A
18/09/2019,Olympiakos Piraeus,Tottenham Hotspur,2,2,D
18/09/2019,Bayern München,Crvena Zvezda,3,0,H
01/10/2019,Tottenham Hotspur,Bayern München,2,7,A
01/10/2019,Crvena Zvezda,Olympiakos Piraeus,3,1,H
22/10/2019,Tottenham Hotspur,Crvena Zvezda,5,0,H
22/10/2019,Olympiakos Piraeus,Bayern München,2,3,A
06/11/2019,Bayern München,Olympiakos Piraeus,2,0,H
06/11/2019,Crvena Zvezda,Tottenham Hotspur,0,4,A
26/11/2019,Tottenham Hotspur,Olympiakos Piraeus,4,2,H
26/11/2019,Crvena Zvezda,Bayern München,0,6,A
11/12/2019,Bayern München,Tottenham Hotspur,3,1,H
11/12/2019,Olympiakos Piraeus,Crvena Zvezda,1,0,H
18/09/2019,Shakhtar Donetsk,Manchester City,0,3,A
18/09/2019,Dinamo Zagreb,Atalanta,4,0,H
01/10/2019,Atalanta,Shakhtar Donetsk,1,2,A
01/10/2019,Manchester City,Dinamo Zagreb,2,0,H
22/10/2019,Shakhtar Donetsk,Dinamo Zagreb,2,2,D
22/10/2019,Manchester City,Atalanta,5,1,H
06/11/2019,Dinamo Zagreb,Shakhtar Donetsk,3,3,D
06/11/2019,Atalanta,Manchester City,1,1,D
26/11/2019,Manchester City,Shakhtar Donetsk,1,1,D
26/11/2019,Atalanta,Dinamo Zagreb,2,0,H
11/12/2019,Shakhtar Donetsk,Atalanta,0,3,A
11/12/2019,Dinamo Zagreb,Manchester City,1,4,A
18/09/2019,Atlético Madrid,Juventus,2,2,D
18/09/2019,Bayer Leverkusen,Lokomotiv Moskva,1,2,A
01/10/2019,Juventus,Bayer Leverkusen,3,0,H
01/10/2019,Lokomotiv Moskva,Atlético Madrid,0,2,A
22/10/2019,Atlético Madrid,Bayer Leverkusen,1,0,H
22/10/2019,Juventus,Lokomotiv Moskva,2,1,H
06/11/2019,Lokomotiv Moskva,Juventus,1,2,A
06/11/2019,Bayer Leverkusen,Atlético Madrid,2,1,H
26/11/2019,Lokomotiv Moskva,Bayer Leverkusen,0,2,A
26/11/2019,Juventus,Atlético Madrid,1,0,H
11/12/2019,Atlético Madrid,Lokomotiv Moskva,2,0,H
11/12/2019,Bayer Leverkusen,Juventus,0,2,A
17/09/2019,SSC Napoli,Liverpool,2,0,H
17/09/2019,RB Salzburg,KRC Genk,6,2,H
02/10/2019,KRC Genk,SSC Napoli,0,0,D
02/10/2019,Liverpool,RB Salzburg,4,3,H
23/10/2019,RB Salzburg,SSC Napoli,2,3,A
23/10/2019,KRC Genk,Liverpool,1,4,A
05/11/2019,Liverpool,KRC Genk,2,1,H
05/11/2019,SSC Napoli,RB Salzburg,1,1,D
27/11/2019,Liverpool,SSC Napoli,1,1,D
27/11/2019,KRC Genk,RB Salzburg,1,4,A
10/12/2019,SSC Napoli,KRC Genk,4,0,H
10/12/2019,RB Salzburg,Liverpool,0,2,A
17/09/2019,Inter,Slavia Praha,1,1,D
17/09/2019,Borussia Dortmund,Barcelona,0,0,D
02/10/2019,Slavia Praha,Borussia Dortmund,0,2,A
02/10/2019,Barcelona,Inter,2,1,H
23/10/2019,Inter,Borussia Dortmund,2,0,H
23/10/2019,Slavia Praha,Barcelona,1,2,A
05/11/2019,Barcelona,Slavia Praha,0,0,D
05/11/2019,Borussia Dortmund,Inter,3,2,H
27/11/2019,Barcelona,Borussia Dortmund,3,1,H
27/11/2019,Slavia Praha,Inter,1,3,A
10/12/2019,Borussia Dortmund,Slavia Praha,2,1,H
10/12/2019,Inter,Barcelona,1,2,A
17/09/2019,Olympique Lyonnais,Zenit St. Petersburg,1,1,D
17/09/2019,SL Benfica,RB Leipzig,1,2,A
02/10/2019,Zenit St. Petersburg,SL Benfica,3,1,H
02/10/2019,RB Leipzig,Olympique Lyonnais,0,2,A
23/10/2019,RB Leipzig,Zenit St. Petersburg,2,1,H
23/10/2019,SL Benfica,Olympique Lyonnais,2,1,H
05/11/2019,Zenit St. Petersburg,RB Leipzig,0,2,A
05/11/2019,Olympique Lyonnais,SL Benfica,3,1,H
27/11/2019,Zenit St. Petersburg,Olympique Lyonnais,2,0,H
27/11/2019,RB Leipzig,SL Benfica,2,2,D
10/12/2019,SL Benfica,Zenit St. Petersburg,3,0,H
10/12/2019,Olympique Lyonnais,RB Leipzig,2,2,D
17/09/2019,Chelsea,Valencia,0,1,A
17/09/2019,AFC Ajax,Lille OSC,3,0,H
02/10/2019,Valencia,AFC Ajax,0,3,A
