Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HY,AY,HST,AST,HF,AF,HS,AS,Referee
03/08/2013,Barnsley,Wigan,0.0,4.0,A,5.0,8.0,1.0,1.0,0.0,9.0,10.0,8.0,6.0,15.0,G Eltrigham
03/08/2013,Birmingham,Watford,0.0,1.0,A,9.0,5.0,4.0,1.0,1.0,6.0,10.0,8.0,5.0,9.0,P Tierney
03/08/2013,Bournemouth,Charlton,2.0,1.0,H,7.0,2.0,1.0,0.0,8.0,2.0,12.0,11.0,14.0,11.0,A D'Urso
03/08/2013,Burnley,Bolton,1.0,1.0,D,10.0,6.0,0.0,1.0,3.0,3.0,9.0,8.0,12.0,13.0,M Clattenburg
03/08/2013,Doncaster,Blackpool,1.0,3.0,A,5.0,5.0,2.0,3.0,3.0,4.0,8.0,6.0,10.0,8.0,K Woolmer
03/08/2013,Leeds,Brighton,2.0,1.0,H,8.0,6.0,3.0,1.0,3.0,6.0,6.0,6.0,10.0,7.0,J Adcock
03/08/2013,Middlesbrough,Leicester,1.0,2.0,A,4.0,4.0,1.0,0.0,5.0,7.0,4.0,5.0,15.0,12.0,A Madley
03/08/2013,Millwall,Yeovil,0.0,1.0,A,3.0,5.0,1.0,2.0,5.0,2.0,10.0,10.0,12.0,6.0,D Whitestone
03/08/2013,Nott'm Forest,Huddersfield,1.0,0.0,H,4.0,3.0,0.0,2.0,3.0,1.0,8.0,12.0,10.0,5.0,G Salisbury
03/08/2013,QPR,Sheffield Weds,2.0,1.0,H,6.0,1.0,1.0,2.0,10.0,1.0,10.0,11.0,15.0,9.0,S Mathieson
03/08/2013,Reading,Ipswich,2.0,1.0,H,6.0,1.0,1.0,2.0,5.0,5.0,14.0,14.0,8.0,6.0,D Coote
04/08/2013,Derby,Blackburn,1.0,1.0,D,7.0,7.0,1.0,2.0,5.0,4.0,11.0,15.0,15.0,20.0,S Attwell
10/08/2013,Blackburn,Nott'm Forest,0.0,1.0,A,7.0,3.0,1.0,3.0,2.0,2.0,12.0,15.0,6.0,11.0,A Madley
10/08/2013,Blackpool,Barnsley,1.0,0.0,H,7.0,6.0,0.0,0.0,0.0,0.0,13.0,11.0,8.0,8.0,S Martin
10/08/2013,Bolton,Reading,1.0,1.0,D,3.0,12.0,2.0,2.0,5.0,4.0,14.0,6.0,16.0,12.0,C Boyeson
10/08/2013,Brighton,Derby,1.0,2.0,A,6.0,6.0,3.0,5.0,4.0,2.0,14.0,14.0,10.0,8.0,A D'Urso
10/08/2013,Charlton,Middlesbrough,0.0,1.0,A,6.0,8.0,1.0,2.0,3.0,3.0,12.0,7.0,9.0,15.0,P Tierney
10/08/2013,Huddersfield,QPR,1.0,1.0,D,1.0,3.0,1.0,1.0,2.0,6.0,9.0,11.0,6.0,17.0,A Haines
10/08/2013,Ipswich,Millwall,3.0,0.0,H,8.0,4.0,1.0,2.0,5.0,0.0,7.0,10.0,8.0,5.0,G Salisbury
10/08/2013,Sheffield Weds,Burnley,1.0,2.0,A,7.0,3.0,3.0,3.0,5.0,4.0,10.0,12.0,14.0,10.0,D Webb
10/08/2013,Watford,Bournemouth,6.0,1.0,H,2.0,4.0,2.0,1.0,11.0,4.0,9.0,7.0,14.0,8.0,J Adcock
