Equipo,Rating_Elo
Arsenal,1725.6458396872326
Man City,1699.4918147040821
Liverpool,1613.3453587178267
Man United,1613.326162998476
Aston Villa,1602.4787188497082
Bournemouth,1582.2192808072637
Brighton,1547.7662771902044
Chelsea,1544.022071701537
Brentford,1539.7189980921084
Sunderland,1532.305945820892
Newcastle,1531.7681633086852
Fulham,1521.0590375277918
Nott'm Forest,1514.8518103996162
Everton,1509.4335144958427
Crystal Palace,1504.4674899189386
Leeds,1489.0946161021373
West Ham,1469.973798710931
Tottenham,1452.5809377112596
Luton,1391.3924700837347
Wolves,1388.3514373693254
Ipswich,1378.250759799666
Leicester,1360.9502162809733
Burnley,1352.3551887231479
Sheffield United,1347.8597286780032
Southampton,1287.2903623206157
