id_combinada,numero_fecha,fecha_generado,es_gratis,partidos_json,cuota_combinada,resultado,liga
Barcelona|Ath Bilbao+Celta|Osasuna+Real Madrid|Sociedad,1,2026-08-21,True,"[{""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.7}, {""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 81.6}, {""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Under 13.5 corners"", ""pick_probabilidad"": 80.6}]",1.74,,
Arsenal|Coventry+Barcelona|Ath Bilbao+Newcastle|Liverpool,2,2026-08-21,True,"[{""fecha"": ""2026-08-23 15:30:00"", ""local"": ""Newcastle"", ""visitante"": ""Liverpool"", ""pick_recomendado"": ""Over 1.5 goles + Over 6.5 corners"", ""pick_probabilidad"": 80.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-21 19:00:00"", ""local"": ""Arsenal"", ""visitante"": ""Coventry"", ""pick_recomendado"": ""Local gana + Over 1.5 goles"", ""pick_probabilidad"": 80.6, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-27 19:00:00"", ""local"": ""Barcelona"", ""visitante"": ""Ath Bilbao"", ""pick_recomendado"": ""Under 13.5 corners"", ""pick_probabilidad"": 80.4, ""liga"": ""la_liga""}]",1.81,,mixta
Celta|Osasuna+Fulham|Chelsea+Ipswich|Sunderland,1,2026-08-21,False,"[{""fecha"": ""2026-08-24 19:00:00"", ""local"": ""Fulham"", ""visitante"": ""Chelsea"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.5, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Ipswich"", ""visitante"": ""Sunderland"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.4, ""liga"": ""premier_league""}]",1.63,,mixta
Man City|Bournemouth+Nott'm Forest|Leeds+Real Madrid|Sociedad,2,2026-08-21,False,"[{""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Nott'm Forest"", ""visitante"": ""Leeds"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 82.0, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 81.8, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Man City"", ""visitante"": ""Bournemouth"", ""pick_recomendado"": ""Doble oportunidad 1X + Over 5.5 corners"", ""pick_probabilidad"": 81.6, ""liga"": ""premier_league""}]",1.73,,mixta
Everton|Crystal Palace+Man City|Bournemouth+Newcastle|Liverpool,2,2026-08-21,True,"[{""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Man City"", ""visitante"": ""Bournemouth"", ""pick_recomendado"": ""Doble oportunidad 1X + Over 5.5 corners"", ""pick_probabilidad"": 81.6, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-23 15:30:00"", ""local"": ""Newcastle"", ""visitante"": ""Liverpool"", ""pick_recomendado"": ""Over 1.5 goles + Over 6.5 corners"", ""pick_probabilidad"": 80.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Everton"", ""visitante"": ""Crystal Palace"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}]",1.79,,premier_league
Celta|Osasuna+Fulham|Chelsea+Valencia|Betis,1,2026-08-21,False,"[{""fecha"": ""2026-08-24 19:00:00"", ""local"": ""Fulham"", ""visitante"": ""Chelsea"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-25 19:00:00"", ""local"": ""Valencia"", ""visitante"": ""Betis"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.0, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.4, ""liga"": ""la_liga""}]",1.6,,mixta
Ipswich|Sunderland+Nott'm Forest|Leeds+Real Madrid|Sociedad,2,2026-08-21,False,"[{""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Ipswich"", ""visitante"": ""Sunderland"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.4, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Nott'm Forest"", ""visitante"": ""Leeds"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 82.0, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 81.9, ""liga"": ""la_liga""}]",1.71,,mixta
Brentford|Tottenham+Brighton|Aston Villa+Hull|Man United,2,2026-08-21,True,"[{""fecha"": ""2026-08-23 13:00:00"", ""local"": ""Brighton"", ""visitante"": ""Aston Villa"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 80.3, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 11:30:00"", ""local"": ""Hull"", ""visitante"": ""Man United"", ""pick_recomendado"": ""Over 1.5 goles"", ""pick_probabilidad"": 80.2, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-22 16:30:00"", ""local"": ""Brentford"", ""visitante"": ""Tottenham"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 80.1, ""liga"": ""premier_league""}]",1.84,,premier_league
Fulham|Chelsea+Ipswich|Sunderland+Valencia|Betis,1,2026-08-21,False,"[{""fecha"": ""2026-08-24 19:00:00"", ""local"": ""Fulham"", ""visitante"": ""Chelsea"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.8, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-25 19:00:00"", ""local"": ""Valencia"", ""visitante"": ""Betis"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 84.1, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Ipswich"", ""visitante"": ""Sunderland"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.4, ""liga"": ""premier_league""}]",1.6,,mixta
Celta|Osasuna+Nott'm Forest|Leeds+Real Madrid|Sociedad,1,2026-08-21,False,"[{""fecha"": ""2026-08-27 18:30:00"", ""local"": ""Celta"", ""visitante"": ""Osasuna"", ""pick_recomendado"": ""Under 11.5 corners"", ""pick_probabilidad"": 82.3, ""liga"": ""la_liga""}, {""fecha"": ""2026-08-22 14:00:00"", ""local"": ""Nott'm Forest"", ""visitante"": ""Leeds"", ""pick_recomendado"": ""Under 12.5 corners"", ""pick_probabilidad"": 82.0, ""liga"": ""premier_league""}, {""fecha"": ""2026-08-26 19:00:00"", ""local"": ""Real Madrid"", ""visitante"": ""Sociedad"", ""pick_recomendado"": ""Over 6.5 corners"", ""pick_probabilidad"": 81.9, ""liga"": ""la_liga""}]",1.71,,mixta
