fecha_partido,local,visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,fecha_generado,resultado_real,acierto
2026-09-04 18:00:00,Sparta Rotterdam,Zwolle,Under 12.5 corners,False,81.5,1.13,2026-09-04,2-2,False
2026-09-05 14:30:00,Nijmegen,Feyenoord,Over 6.5 corners,False,81.5,1.13,2026-09-04,1-3,False
2026-09-05 16:45:00,Utrecht,Go Ahead Eagles,Over 6.5 corners,False,84.6,1.08,2026-09-04,,
2026-09-05 18:00:00,Ajax,PSV Eindhoven,Over 1.5 goles,False,82.6,1.11,2026-09-04,1-3,True
2026-09-05 19:00:00,Willem II,Excelsior,Over 6.5 corners,False,81.0,1.13,2026-09-04,0-3,True
2026-09-06 10:15:00,Groningen,Twente,Under 13.5 corners,False,80.2,1.15,2026-09-06,2-2,True
2026-09-06 12:30:00,Heerenveen,AZ Alkmaar,Under 13.5 corners,False,82.3,1.11,2026-09-06,2-3,True
2026-09-06 12:30:00,Telstar,Cambuur,Doble oportunidad 1X + Over 6.5 corners,True,80.1,1.15,2026-09-06,2-2,False
2026-09-06 14:45:00,Den Haag,For Sittard,Over 2.5 goles,False,80.3,1.14,2026-09-06,2-3,True
2026-09-08 16:45:00,Nijmegen,Excelsior,Over 7.5 corners,False,80.1,1.15,2026-09-08,2-2,False
2026-09-09 16:45:00,Twente,Telstar,Doble oportunidad 1X,False,81.5,1.13,2026-09-08,1-0,True
2026-09-11 18:00:00,AZ Alkmaar,Willem II,Over 7.5 corners,False,80.4,1.14,2026-09-11,1-1,True
2026-09-12 14:30:00,Twente,Den Haag,Over 1.5 goles + Over 5.5 corners,True,80.1,1.15,2026-09-12,2-0,True
2026-09-12 16:45:00,Go Ahead Eagles,Groningen,Doble oportunidad 1X,False,80.3,1.14,2026-09-12,1-1,True
2026-09-12 18:00:00,For Sittard,Ajax,Over 7.5 corners,False,81.6,1.12,2026-09-12,1-5,True
2026-09-12 19:00:00,Cambuur,Nijmegen,Doble oportunidad X2 + Under 13.5 corners,True,80.1,1.15,2026-09-12,3-0,False
2026-09-13 10:15:00,Excelsior,Utrecht,Over 5.5 corners,False,82.0,1.12,2026-09-13,1-2,True
2026-09-13 12:30:00,Heerenveen,Telstar,Over 7.5 corners,False,81.5,1.13,2026-09-13,0-0,True
2026-09-13 14:45:00,Zwolle,Feyenoord,Más tiros a puerta: Feyenoord,False,81.2,1.13,2026-09-13,0-7,True
2026-09-13 18:00:00,PSV Eindhoven,Sparta Rotterdam,Doble oportunidad 1X + Over 7.5 corners,True,80.9,1.14,2026-09-13,4-1,True
2026-09-15 18:00:00,Ajax,Willem II,Under 12.5 corners,False,80.0,1.15,2026-09-14,5-1,False
2026-09-18 18:00:00,Groningen,Zwolle,Under 12.5 corners,False,80.3,1.15,2026-09-17,,
2026-09-19 14:30:00,Den Haag,Cambuur,Over 1.5 goles + Under 13.5 corners,True,81.7,1.12,2026-09-19,,
2026-09-19 16:45:00,Sparta Rotterdam,Heerenveen,Over 7.5 corners,False,85.4,1.07,2026-09-19,,
2026-09-19 18:00:00,Ajax,Excelsior,Over 1.5 goles + Over 5.5 corners,True,80.3,1.15,2026-09-19,,
2026-09-19 19:00:00,Willem II,For Sittard,Over 6.5 corners,False,81.4,1.13,2026-09-19,,
2026-09-20 10:15:00,Feyenoord,Utrecht,Hándicap asiático +0.5: Feyenoord,False,80.0,1.15,2026-09-20,,
2026-09-20 12:30:00,Twente,PSV Eindhoven,Over 1.5 goles,False,80.3,1.14,2026-09-20,,
2026-09-20 12:30:00,AZ Alkmaar,Telstar,Doble oportunidad 1X,False,80.9,1.14,2026-09-20,,
2026-09-20 14:45:00,Nijmegen,Go Ahead Eagles,Over 1.5 goles + Over 5.5 corners,True,80.0,1.15,2026-09-20,,
