fecha_partido,local,visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,fecha_generado,resultado_real,acierto
2026-09-04 19:15:00,Porto,Moreirense,Doble oportunidad 1X + Más corners: Porto,True,80.3,1.14,2026-09-04,2-1,True
2026-09-05 14:30:00,Estrela,Famalicao,Over 6.5 corners,False,84.0,1.09,2026-09-04,2-2,True
2026-09-05 17:00:00,Alverca,Sp Braga,Doble oportunidad X2,False,80.8,1.14,2026-09-04,1-2,True
2026-09-05 17:00:00,Maritimo,Benfica,Doble oportunidad X2 + Over 5.5 corners,True,80.2,1.15,2026-09-04,0-3,True
2026-09-05 19:30:00,Sp Lisbon,Nacional,Under 13.5 corners,False,80.7,1.14,2026-09-04,2-0,True
2026-09-06 14:30:00,Santa Clara,Rio Ave,Over 5.5 corners,False,82.4,1.11,2026-09-06,4-0,True
2026-09-06 17:00:00,Guimaraes,Casa Pia,Under 13.5 corners,False,80.3,1.15,2026-09-06,0-0,False
2026-09-06 19:30:00,Gil Vicente,Academico Viseu,Over 6.5 corners,False,81.7,1.12,2026-09-06,0-1,True
2026-09-07 19:15:00,Estoril,Arouca,Under 12.5 corners,False,81.9,1.12,2026-09-07,0-0,True
2026-09-09 19:45:00,Moreirense,Benfica,Doble oportunidad X2 + Over 5.5 corners,True,80.9,1.14,2026-09-08,0-4,True
2026-09-10 19:15:00,Estrela,Sp Braga,Doble oportunidad X2,False,81.2,1.13,2026-09-09,2-1,False
2026-09-12 14:30:00,Nacional,Alverca,Over 7.5 corners,False,83.5,1.1,2026-09-12,1-3,False
2026-09-12 17:00:00,Casa Pia,Porto,Over 5.5 corners,False,80.7,1.14,2026-09-12,1-4,True
2026-09-12 19:30:00,Academico Viseu,Guimaraes,Under 5.5 corners,False,80.8,1.14,2026-09-12,2-1,False
2026-09-13 17:00:00,Benfica,Gil Vicente,Doble oportunidad 1X + Over 6.5 corners,True,80.3,1.15,2026-09-13,3-1,True
2026-09-13 17:00:00,Arouca,Santa Clara,Under 12.5 corners,False,81.7,1.12,2026-09-13,1-2,True
2026-09-13 19:30:00,Famalicao,Sp Lisbon,Over 6.5 corners,False,82.3,1.11,2026-09-13,1-1,True
2026-09-14 17:45:00,Rio Ave,Estrela,Over 6.5 corners,False,81.9,1.12,2026-09-14,3-3,True
2026-09-14 19:15:00,Moreirense,Maritimo,Under 10.5 corners,False,83.4,1.1,2026-09-14,3-1,True
2026-09-14 19:45:00,Sp Braga,Estoril,Over 1.5 goles + Under 13.5 corners,True,80.0,1.15,2026-09-14,1-0,False
2026-09-19 14:30:00,Nacional,Famalicao,Hándicap asiático +1.5: Nacional,False,83.2,1.1,2026-09-19,,
2026-09-19 14:30:00,Gil Vicente,Maritimo,Doble oportunidad 1X,False,80.3,1.14,2026-09-19,,
2026-09-19 17:00:00,Alverca,Rio Ave,Over 5.5 corners,False,82.8,1.11,2026-09-19,,
2026-09-19 19:30:00,Sp Lisbon,Arouca,Doble oportunidad 1X + Over 1.5 goles,True,80.2,1.15,2026-09-19,,
