fecha_partido,local,visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,fecha_generado,resultado_real,acierto
2026-08-28 18:45:00,Milan,Venezia,Over 6.5 corners,False,81.3,1.13,2026-08-28,2-0,False
2026-08-29 16:30:00,Sassuolo,Torino,Under 12.5 corners,False,85.5,1.07,2026-08-29,2-1,True
2026-08-29 16:30:00,Monza,Udinese,Under 13.5 corners,False,84.9,1.08,2026-08-29,2-3,True
2026-08-29 16:30:00,Fiorentina,Frosinone,Doble oportunidad 1X,False,83.6,1.1,2026-08-29,0-3,False
2026-08-29 18:45:00,Juventus,Parma,Doble oportunidad 1X,False,84.7,1.08,2026-08-29,2-0,True
2026-08-30 16:30:00,Napoli,Como,Under 12.5 corners,False,85.4,1.07,2026-08-30,1-2,True
2026-08-30 18:45:00,Lazio,Genoa,Under 13.5 corners,False,86.0,1.06,2026-08-30,1-0,True
2026-08-30 18:45:00,Cagliari,Inter,Over 1.5 goles,False,80.9,1.14,2026-08-30,0-1,False
2026-08-31 16:30:00,Lecce,Roma,Doble oportunidad X2,False,82.0,1.12,2026-08-30,0-4,True
2026-08-31 18:45:00,Atalanta,Bologna,Under 12.5 corners,False,85.2,1.07,2026-08-30,1-0,True
2026-09-04 18:45:00,Genoa,Como,Doble oportunidad X2,False,80.3,1.15,2026-09-03,,
2026-09-05 13:00:00,Fiorentina,Torino,Under 12.5 corners,False,85.1,1.07,2026-09-04,,
2026-09-05 16:00:00,Inter,Napoli,Under 12.5 corners,False,85.5,1.07,2026-09-04,,
2026-09-05 18:45:00,Roma,Atalanta,Under 12.5 corners,False,86.6,1.05,2026-09-04,,
