fecha,local,visitante,goles_esperados_local,goles_esperados_visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,pick_es_seguro,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,handicap_local_-0.5,handicap_visitante_+0.5,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Ipswich,Más corners: Sunderland,Over 3.5 tiros a puerta,Under 3.5 tiros a puerta,Over 4.5 tiros a puerta,Under 4.5 tiros a puerta,Over 5.5 tiros a puerta,Under 5.5 tiros a puerta,Over 6.5 tiros a puerta,Under 6.5 tiros a puerta,Over 7.5 tiros a puerta,Under 7.5 tiros a puerta,Over 8.5 tiros a puerta,Under 8.5 tiros a puerta,Over 9.5 tiros a puerta,Under 9.5 tiros a puerta,Over 10.5 tiros a puerta,Under 10.5 tiros a puerta,Over 11.5 tiros a puerta,Under 11.5 tiros a puerta,Over 12.5 tiros a puerta,Under 12.5 tiros a puerta,Más tiros a puerta: Ipswich,Más tiros a puerta: Sunderland,Más corners: Nott'm Forest,Más corners: Leeds,Más tiros a puerta: Nott'm Forest,Más tiros a puerta: Leeds,Más corners: Everton,Más corners: Crystal Palace,Más tiros a puerta: Everton,Más tiros a puerta: Crystal Palace,Más corners: Brentford,Más corners: Tottenham,Más tiros a puerta: Brentford,Más tiros a puerta: Tottenham,Más corners: Man City,Más corners: Bournemouth,Más tiros a puerta: Man City,Más tiros a puerta: Bournemouth,Más corners: Brighton,Más corners: Aston Villa,Más tiros a puerta: Brighton,Más tiros a puerta: Aston Villa,Más corners: Newcastle,Más corners: Liverpool,Más tiros a puerta: Newcastle,Más tiros a puerta: Liverpool,Más corners: Fulham,Más corners: Chelsea,Más tiros a puerta: Fulham,Más tiros a puerta: Chelsea,Más corners: Man United,Más tiros a puerta: Man United
2026-08-21 19:00:00,Arsenal,Coventry,3.56,0.44,Local gana + Over 1.5 goles,True,84.3,1.19,True,90.9,7.5,1.7,98.3,9.1,38.9,61.1,75.5,24.5,98.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 11:30:00,Hull,Man United,0.81,2.36,Over 1.5 goles,False,83.8,1.19,True,10.1,19.7,70.2,29.8,89.9,56.4,43.6,63.6,36.4,12.6,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 14:00:00,Ipswich,Sunderland,0.7,1.8,Doble oportunidad X2 + Under 12.5 corners,True,80.6,1.24,True,12.7,25.6,61.7,38.3,87.3,47.5,52.5,47.9,52.1,17.1,82.9,83.1,16.9,71.7,28.3,58.2,41.8,44.3,55.7,31.6,68.4,21.0,79.0,13.1,86.9,7.7,92.3,4.2,95.8,40.6,45.3,97.0,3.0,92.7,7.3,85.2,14.8,74.6,25.4,61.7,38.3,48.0,52.0,35.0,65.0,23.9,76.1,15.3,84.7,9.2,90.8,34.2,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 14:00:00,Nott'm Forest,Leeds,1.41,0.94,Over 5.5 tiros a puerta,False,80.1,1.25,True,46.0,30.8,23.1,76.9,54.0,51.7,48.3,44.5,55.5,66.5,33.5,89.4,10.6,80.8,19.2,69.6,30.4,56.7,43.3,43.5,56.5,31.5,68.5,21.4,78.6,13.7,86.3,8.3,91.7,,,95.5,4.5,89.6,10.4,80.1,19.9,67.7,32.3,53.6,46.4,39.6,60.4,27.3,72.7,17.6,82.4,10.6,89.4,6.0,94.0,,,70.8,18.7,55.5,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 14:00:00,Everton,Crystal Palace,1.29,1.22,Over 5.5 tiros a puerta,False,81.1,1.23,True,36.3,30.8,32.8,67.2,63.7,57.1,42.9,48.9,51.1,52.5,47.5,91.4,8.6,84.0,16.0,73.7,26.3,61.6,38.4,48.6,51.4,36.2,63.8,25.4,74.6,16.9,83.1,10.6,89.4,,,95.8,4.2,90.2,9.8,81.1,18.9,69.0,31.0,55.1,44.9,41.1,58.9,28.7,71.3,18.7,81.3,11.4,88.6,6.5,93.5,,,,,,,49.9,37.2,43.5,42.2,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 16:30:00,Brentford,Tottenham,1.78,1.54,Under 12.5 corners,False,83.4,1.2,True,41.9,26.1,32.0,68.0,58.1,71.8,28.2,67.6,32.4,56.7,43.3,91.3,8.7,83.7,16.3,73.5,26.5,61.2,38.8,48.2,51.8,35.9,64.1,25.1,74.9,16.6,83.4,10.4,89.6,,,97.3,2.7,93.2,6.8,86.2,13.8,76.1,23.9,63.5,36.5,49.9,50.1,36.8,63.2,25.5,74.5,16.5,83.5,10.1,89.9,,,,,,,,,,,33.4,54.0,38.3,48.0,,,,,,,,,,,,,,,,,,
2026-08-23 13:00:00,Man City,Bournemouth,2.65,1.03,Over 1.5 goles + Más corners: Man City,True,80.5,1.24,True,69.9,18.5,11.6,88.4,30.1,66.0,34.0,73.0,27.0,85.7,14.3,96.9,3.1,93.4,6.6,87.8,12.2,79.7,20.3,69.6,30.4,58.0,42.0,46.2,53.8,34.9,65.1,25.1,74.9,,,99.1,0.9,97.4,2.6,94.0,6.0,88.2,11.8,79.8,20.2,69.0,31.0,56.7,43.3,44.3,55.7,32.7,67.3,22.8,77.2,,,,,,,,,,,,,,,90.3,5.3,83.1,9.9,,,,,,,,,,,,,,
2026-08-23 13:00:00,Brighton,Aston Villa,1.52,1.16,Under 11.5 tiros a puerta,False,80.3,1.25,True,43.6,29.1,27.2,72.8,56.4,60.1,39.9,53.5,46.5,61.6,38.4,90.9,9.1,83.2,16.8,72.7,27.3,60.3,39.7,47.3,52.7,34.9,65.1,24.3,75.7,16.0,84.0,9.9,90.1,,,97.9,2.1,94.5,5.5,88.4,11.6,79.3,20.7,67.6,32.4,54.5,45.5,41.3,58.7,29.4,70.6,19.7,80.3,12.4,87.6,,,,,,,,,,,,,,,,,,,49.9,37.1,68.0,20.9,,,,,,,,,,
2026-08-23 15:30:00,Newcastle,Liverpool,2.12,1.83,Ambos anotan - Si,False,80.2,1.25,True,43.7,23.5,32.9,67.1,56.3,80.2,19.8,78.2,21.8,57.0,43.0,96.3,3.7,92.3,7.7,85.9,14.1,77.1,22.9,66.3,33.7,54.4,45.6,42.4,57.6,31.5,68.5,22.2,77.8,,,99.4,0.6,98.1,1.9,95.4,4.6,90.7,9.3,83.4,16.6,73.8,26.2,62.3,37.7,50.1,49.9,38.2,61.8,27.6,72.4,,,,,,,,,,,,,,,,,,,,,,,23.9,65.6,42.6,45.0,,,,,,
2026-08-24 19:00:00,Fulham,Chelsea,1.46,1.46,Over 1.5 goles,False,81.0,1.23,True,35.8,28.3,35.9,64.1,64.2,65.6,34.4,59.3,40.7,49.9,50.1,95.3,4.7,90.4,9.6,83.0,17.0,73.1,26.9,61.6,38.4,49.3,50.7,37.4,62.6,26.9,73.1,18.4,81.6,,,96.8,3.2,92.1,7.9,84.3,15.7,73.4,26.6,60.2,39.8,46.4,53.6,33.5,66.5,22.7,77.3,14.4,85.6,8.5,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,61.1,42.2,43.8,,
2026-08-28 19:00:00,Crystal Palace,Man City,0.83,1.68,Under 12.5 corners,False,81.3,1.23,True,16.8,27.5,55.7,44.3,83.2,51.6,48.4,48.6,51.4,23.2,76.8,92.4,7.6,85.5,14.5,75.9,24.1,64.1,35.9,51.3,48.7,38.9,61.1,27.8,72.2,18.7,81.3,12.0,88.0,,,97.4,2.6,93.5,6.5,86.7,13.3,76.7,23.3,64.3,35.7,50.8,49.2,37.7,62.3,26.2,73.8,17.1,82.9,10.5,89.5,,,,,,,,13.3,,17.5,,,,,78.2,,72.0,,,,,,,,,,,,,,,
2026-08-29 11:30:00,Liverpool,Nott'm Forest,2.12,1.12,Over 1.5 goles + Over 6.5 corners,True,80.0,1.25,True,58.3,23.6,18.1,81.9,41.7,65.8,34.2,65.7,34.3,76.3,23.7,97.3,2.7,94.1,5.9,88.9,11.1,81.3,18.7,71.5,28.5,60.3,39.7,48.5,51.5,37.2,62.8,27.1,72.9,,,98.7,1.3,96.5,3.5,92.1,7.9,85.1,14.9,75.3,24.7,63.4,36.6,50.6,49.4,38.1,61.9,27.1,72.9,18.2,81.8,,,9.3,,16.4,,,,,,,,,,,,,,,,,,,84.5,,74.1,,,,,,
2026-08-29 14:00:00,Bournemouth,Everton,1.14,0.85,Under 13.5 corners,False,80.6,1.24,True,40.4,34.3,25.2,74.8,59.6,44.1,55.9,34.7,65.3,61.6,38.4,95.6,4.4,90.9,9.1,83.8,16.2,74.3,25.7,62.9,37.1,50.7,49.3,38.8,61.2,28.2,71.8,19.4,80.6,,,95.5,4.5,89.4,10.6,79.9,20.1,67.4,32.6,53.3,46.7,39.3,60.7,27.1,72.9,17.4,82.6,10.5,89.5,5.9,94.1,,,,,,,13.6,,20.9,,,,,,,78.3,,67.1,,,,,,,,,,,,,,
2026-08-29 14:00:00,Coventry,Hull,1.53,1.28,Over 1.5 goles,False,79.3,1.26,False,41.2,28.7,30.1,69.9,58.8,63.1,36.9,56.7,43.3,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-29 16:30:00,Tottenham,Newcastle,1.36,1.58,Over 6.5 tiros a puerta,False,80.2,1.25,True,31.1,28.0,40.9,59.1,68.9,65.6,34.4,59.7,40.3,43.2,56.8,97.6,2.4,94.8,5.2,90.0,10.0,82.9,17.1,73.6,26.4,62.7,37.3,51.1,48.9,39.7,60.3,29.4,70.6,,,98.0,2.0,94.8,5.2,89.0,11.0,80.2,19.8,68.7,31.3,55.7,44.3,42.5,57.5,30.5,69.5,20.6,79.4,13.1,86.9,,,,,,,,,,,,50.4,,45.7,,,,,,,,,38.0,,40.9,,,,,,,
