fecha,local,visitante,escudo_local,escudo_visitante,goles_esperados_local,goles_esperados_visitante,pick_recomendado,es_combo,pick_probabilidad,pick_cuota_aprox,pick_es_seguro,prob_local,prob_empate,prob_visitante,doble_op_1X,doble_op_X2,btts_si,btts_no,over_25,under_25,handicap_local_-0.5,handicap_visitante_+0.5,Over 5.5 corners,Under 5.5 corners,Over 6.5 corners,Under 6.5 corners,Over 7.5 corners,Under 7.5 corners,Over 8.5 corners,Under 8.5 corners,Over 9.5 corners,Under 9.5 corners,Over 10.5 corners,Under 10.5 corners,Over 11.5 corners,Under 11.5 corners,Over 12.5 corners,Under 12.5 corners,Over 13.5 corners,Under 13.5 corners,Más corners: Derby,Más corners: Birmingham,Over 5.0 tiros a puerta,Under 5.0 tiros a puerta,Over 6.0 tiros a puerta,Under 6.0 tiros a puerta,Over 7.0 tiros a puerta,Under 7.0 tiros a puerta,Over 8.0 tiros a puerta,Under 8.0 tiros a puerta,Más tiros a puerta: Derby,Más tiros a puerta: Birmingham,Más corners: Bolton,Más corners: Cardiff,Over 9.0 tiros a puerta,Under 9.0 tiros a puerta,Over 10.0 tiros a puerta,Under 10.0 tiros a puerta,Over 11.0 tiros a puerta,Under 11.0 tiros a puerta,Over 12.0 tiros a puerta,Under 12.0 tiros a puerta,Más tiros a puerta: Bolton,Más tiros a puerta: Cardiff,Más corners: West Brom,Más corners: QPR,Más tiros a puerta: West Brom,Más tiros a puerta: QPR,Más corners: Southampton,Más corners: Bristol City,Más tiros a puerta: Southampton,Más tiros a puerta: Bristol City,Más corners: Preston,Más corners: Lincoln,Más tiros a puerta: Preston,Más tiros a puerta: Lincoln,Más corners: Blackburn,Más corners: Millwall,Más tiros a puerta: Blackburn,Más tiros a puerta: Millwall,Más corners: Charlton,Más corners: Portsmouth,Más tiros a puerta: Charlton,Más tiros a puerta: Portsmouth,Más corners: Watford,Más corners: Stoke,Más tiros a puerta: Watford,Más tiros a puerta: Stoke,Más corners: Swansea,Más corners: Burnley,Más tiros a puerta: Swansea,Más tiros a puerta: Burnley,Más corners: Middlesbrough,Más corners: Norwich,Más tiros a puerta: Middlesbrough,Más tiros a puerta: Norwich
2026-09-12 11:30:00,Derby,Birmingham,https://crests.football-data.org/342.png,https://crests.football-data.org/332.png,1.19,0.82,Over 6.5 corners,False,81.2,1.13,True,35.1,26.2,17.5,73.9,52.6,36.4,51.2,27.0,61.9,61.2,27.6,85.9,9.0,81.2,12.2,72.8,18.3,60.0,28.6,44.6,42.8,30.5,57.9,20.4,70.2,14.2,78.4,10.7,83.4,33.0,39.4,60.9,27.8,42.1,45.3,26.2,62.9,16.4,75.4,47.4,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 11:30:00,Bolton,Cardiff,https://crests.football-data.org/60.png,https://crests.football-data.org/715.png,1.74,1.53,Over 1.5 goles,False,81.5,1.13,True,33.4,19.6,24.9,64.4,54.6,68.7,21.5,63.8,25.5,50.6,37.0,86.4,8.7,82.2,11.5,74.7,16.9,62.9,26.2,47.8,39.6,33.2,54.7,22.3,67.7,15.4,76.8,11.4,82.4,,,,,,,,,,,,,86.2,7.4,56.3,31.8,41.4,46.0,28.4,60.3,19.3,71.5,66.3,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 11:30:00,West Brom,QPR,https://crests.football-data.org/74.png,https://crests.football-data.org/69.png,1.3,0.81,Over 6.5 corners,False,84.3,1.09,True,39.2,24.8,16.1,75.8,48.3,38.4,49.1,29.9,58.5,65.5,24.0,87.4,8.0,84.3,10.1,78.6,14.1,69.1,21.2,55.7,32.4,40.7,46.7,27.9,60.9,19.0,72.0,13.5,79.4,,,62.1,26.9,43.4,43.9,27.2,61.7,17.0,74.6,,,,,,,,,,,,,,,75.9,11.4,61.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 14:00:00,Southampton,Bristol City,https://crests.football-data.org/340.png,https://crests.football-data.org/387.png,1.94,0.93,Doble oportunidad 1X,False,80.3,1.14,True,54.9,18.5,12.8,80.3,33.0,53.3,34.6,52.7,35.0,76.0,16.0,87.7,7.8,84.9,9.6,79.8,13.2,71.2,19.6,58.5,29.9,43.7,43.7,30.3,58.1,20.6,69.9,14.5,78.0,,,,,,,,,49.9,37.7,,,,,34.3,53.5,22.6,67.3,15.3,76.9,,,,,,,,,53.3,23.0,59.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12 14:00:00,Preston,Lincoln,https://crests.football-data.org/1081.png,https://crests.football-data.org/1126.png,0.84,1.2,Más corners: Preston,False,80.1,1.15,True,17.8,25.9,35.0,52.8,73.6,37.4,50.1,27.9,60.9,28.1,60.7,89.3,6.7,88.4,7.3,86.6,8.5,83.2,10.8,77.6,14.8,68.6,21.6,56.4,31.7,42.8,44.6,30.5,57.8,,,,,56.7,31.5,39.0,48.5,24.7,64.7,,,,,16.0,76.0,,,,,,,,,,,,,,,,,80.1,10.0,77.8,10.0,,,,,,,,,,,,,,,,,,,,
2026-09-12 14:00:00,Blackburn,Millwall,https://crests.football-data.org/59.png,https://crests.football-data.org/384.png,0.91,1.2,Over 7.5 corners,False,83.1,1.1,True,19.4,25.6,32.9,55.1,71.4,40.3,47.1,30.1,58.2,31.3,56.9,88.5,7.3,86.6,8.5,83.1,10.9,76.9,15.3,67.0,22.9,53.6,34.2,39.3,48.1,27.2,61.6,18.8,72.2,,,63.6,25.6,45.2,42.2,28.6,60.1,17.8,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,31.1,27.0,43.4,,,,,,,,,,,,,,,,
2026-09-12 14:00:00,Charlton,Portsmouth,https://crests.football-data.org/348.png,https://crests.football-data.org/325.png,1.3,1.03,Over 6.5 corners,False,84.3,1.09,True,32.9,24.2,20.6,69.8,55.1,46.6,40.8,36.5,51.1,55.3,32.7,87.4,8.0,84.3,10.1,78.6,14.0,69.2,21.2,55.7,32.3,40.8,46.6,27.9,60.8,19.0,71.9,13.5,79.3,,,,,50.0,37.6,32.5,55.5,20.3,70.2,,,,,13.4,79.5,,,,,,,,,,,,,,,,,,,,,,,,,40.2,32.7,50.6,22.4,,,,,,,,,,,,
2026-09-12 14:00:00,Watford,Stoke,https://crests.football-data.org/346.png,https://crests.football-data.org/70.png,1.35,0.79,Over 6.5 corners,False,84.3,1.09,True,41.6,24.2,15.2,77.1,45.8,38.4,49.1,30.7,57.6,68.1,22.0,87.4,8.0,84.3,10.1,78.6,14.1,69.1,21.2,55.7,32.3,40.7,46.7,27.9,60.9,19.0,72.0,13.5,79.4,,,,,,,56.3,31.8,39.6,47.8,,,,,25.9,63.2,17.0,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,30.8,67.6,14.4,,,,,,,,
2026-09-12 14:00:00,Swansea,Burnley,https://crests.football-data.org/72.png,https://crests.football-data.org/328.png,0.95,1.28,Under 11.5 corners,False,83.2,1.1,True,19.2,24.7,34.3,53.6,71.6,43.5,43.9,33.6,54.3,30.3,58.0,78.6,14.1,67.3,22.6,51.3,36.4,34.7,53.0,22.4,67.6,14.9,77.4,10.8,83.2,8.7,86.4,7.5,88.1,,,,,52.9,34.9,35.2,52.5,22.1,67.9,,,,,14.5,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,48.1,23.6,48.8,,,,
2026-09-12 14:00:00,Middlesbrough,Norwich,https://crests.football-data.org/343.png,https://crests.football-data.org/68.png,1.48,1.03,Over 7.5 corners,False,83.7,1.09,True,38.4,22.5,18.3,72.8,49.1,50.6,37.0,42.3,45.1,61.7,27.2,88.6,7.2,86.9,8.3,83.7,10.5,78.0,14.5,68.8,21.5,56.0,32.1,41.7,45.7,29.2,59.4,20.1,70.5,,,,,,,58.1,30.3,41.5,45.9,,,,,27.3,61.6,17.9,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,15.0,55.7,20.5
